"tahun,""bulan"",""jenis"",""kode_trayek"",""trayek"",""jumlah_penumpang"""
"2021,1,""Mikrotrans"",""JAK.88"",""Terminal Tanjung Priok - Ancol Barat"",1473.0"
"2021,1,""Mikrotrans"",""JAK.85"",""Bintara - Cipinang Indah"",20280.0"
"2021,1,""Mikrotrans"",""JAK.84"",""Terminal Kampung Melayu - Kapin Raya"",28779.0"
"2021,1,""Mikrotrans"",""JAK.80"",""Rawa Buaya - Rawa Kompeni"",54998.0"
"2021,1,""Mikrotrans"",""JA.77"",""Tanjung Priok - Jembatan Item"",60284.0"
"2021,1,""Mikrotrans"",""JAK.75"",""Cililitan - Kp. Pulo"",48220.0"
"2021,1,""Mikrotrans"",""JAK.74"",""Terminal Rawamangun - Cipinang Muara"",38572.0"
"2021,1,""Mikrotrans"",""JAK.73"",""Jambore Cibubur - Pasar Rebo"",65087.0"
"2021,1,""Mikrotrans"",""JAK.72"",""Kampung Rambutan - Pasar Rebo via Poncol"",85416.0"
"2021,1,""Mikrotrans"",""JAK.71"",""Kampung Rambutan - Pinang Ranti"",62822.0"
"2021,1,""Mikrotrans"",""JAK.64"",""Lenteng Agung - Aseli"",36802.0"
"2021,1,""Mikrotrans"",""JAK.61"",""Cempaka Putih - Pulo Gadung via Kelapa Gading"",36899.0"
"2021,1,""Mikrotrans"",""JAK.60"",""Kelapa Gading - Rusun Kemayoran"",72704.0"
"2021,1,""Mikrotrans"",""JAK.59"",""Rawamangun - Tanah Merah"",90624.0"
"2021,1,""Mikrotrans"",""JAK.58"",""Cilingcing - Rorotan"",96030.0"
"2021,1,""Mikrotrans"",""JAK.56"",""Grogol - Srengseng"",50223.0"
"2021,1,""Mikrotrans"",""JAK.54"",""Grogol - Benhil"",25049.0"
"2021,1,""Mikrotrans"",""JAK.53"",""Grogol - Pos Pengumben via Slipi"",20947.0"
"2021,1,""Mikrotrans"",""JAK.52"",""Kalideres - Muara Angke"",42875.0"
"2021,1,""Mikrotrans"",""JAK.51"",""Taman Kota - Budi Luhur"",96336.0"
"2021,1,""Mikrotrans"",""JAK.50"",""Kalideres - Puri Kembangan"",61171.0"
"2021,1,""Mikrotrans"",""JAK.49"",""Lebak Bulus - Cipulir"",36662.0"
"2021,1,""Mikrotrans"",""JAK.47"",""Pasar Minggu - Ciganjur via KB Ragunan"",39551.0"
"2021,1,""Mikrotrans"",""JAK.46"",""Pasar Minggu - Jagakarsa"",59975.0"
"2021,1,""Mikrotrans"",""JAK.45"",""Lebak Bulus - Ragunan"",47171.0"
"2021,1,""Mikrotrans"",""JAK.44"",""Andara - Stasiun Universitas Pancasila"",53202.0"
"2021,1,""Mikrotrans"",""JAK.43"",""Tongtek - Cililitan"",74225.0"
"2021,1,""Mikrotrans"",""JAK.42"",""Kampung Melayu - Pondok Kelapa"",50456.0"
"2021,1,""Mikrotrans"",""JAK.41"",""Kampung Melayu - Ppulo Gadung"",21109.0"
"2021,1,""Mikrotrans"",""JAK.40"",""Harapan Baru - Pulo Gebang via Rawa Kuning"",41797.0"
"2021,1,""Mikrotrans"",""JAK.39"",""Kalimalang - Duren Sawit"",54414.0"
"2021,1,""Mikrotrans"",""JAK.38"",""Bulak Ringin - Kampung Rambutan"",43994.0"
"2021,1,""Mikrotrans"",""JAK.37"",""Cililitan - Condet via Kayu Manis"",46026.0"
"2021,1,""Mikrotrans"",""JAK.36"",""Cilangkap - Cililitan"",87842.0"
"2021,1,""Mikrotrans"",""JAK.35"",""Pangkalan  Jati - Rawamangun"",29321.0"
"2021,1,""Mikrotrans"",""JAK.34"",""Rawamangun - Klender"",68848.0"
"2021,1,""Mikrotrans"",""JAK.33"",""Pulo Gadung - Kota"",46531.0"
"2021,1,""Mikrotrans"",""JAK.32"",""Lebak Bulus - Petukangan"",83768.0"
"2021,1,""Mikrotrans"",""JAK.31"",""Blok M - Andara"",55577.0"
"2021,1,""Mikrotrans"",""JAK.30"",""Grogol - Meruya via Roxy"",128066.0"
"2021,1,""Mikrotrans"",""JAK.29"",""Tanjung Priok - Sukapura"",105832.0"
"2021,1,""Mikrotrans"",""JAK.28"",""Kp. Rambutan - Taman Wiladatika"",63490.0"
"2021,1,""Mikrotrans"",""JAK.27"",""Pulo Gebang - Rorotan"",47626.0"
"2021,1,""Mikrotrans"",""JAK.26"",""Rawamangun - Duren Sawit"",36715.0"
"2021,1,""Mikrotrans"",""JAK.25"",""Kp. Rambutan - Kalisari"",56614.0"
"2021,1,""Mikrotrans"",""JAK.24"",""Senen - Pulo Gadung via Kelapa Gading"",68914.0"
"2021,1,""Mikrotrans"",""JAK.22"",""Dwikora - Penas Kalimalang"",26467.0"
"2021,1,""Mikrotrans"",""JAK.21"",""Cililitan - Dwikora"",56815.0"
"2021,1,""Mikrotrans"",""JAK.20"",""Cawang UKI - Lubang Buaya"",59451.0"
"2021,1,""Mikrotrans"",""JAK,19"",""Pinang Ranti - Kampung Rambutan"",103680.0"
"2021,1,""Mikrotrans"",""JAK.18"",""Kalibata - Kuningan"",29032.0"
"2021,1,""Mikrotrans"",""JAK.17"",""Senen - Pulo Gadung "",33859.0"
"2021,1,""Mikrotrans"",""JAK.16"",""Cililitan - Condet via Kayu Manis"",55944.0"
